2026-05-09 13:15:38,899 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54602944: 90:25:020103:3167 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:39,514 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54603326: 90:25:020103:3168 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:40,103 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54603779: 90:25:020103:3170 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:40,765 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54604160: 90:25:020103:3171 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:41,341 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54604536: 90:25:020103:3172 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:41,986 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55126832: 90:25:020103:3173 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:42,556 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55126945: 90:25:020103:3175 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:43,127 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55128021: 90:25:020103:3176 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:43,813 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55127083: 90:25:020103:3201 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:44,394 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55127181: 90:25:020103:3227 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:45,028 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55127279: 90:25:020103:3228 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:45,668 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55127370: 90:25:020103:3232 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:46,271 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53841969: 90:25:020102:324 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:15:46,845 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55127456: 90:25:020103:3242 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:47,545 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53843935: 90:25:020102:325 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:15:48,117 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55127537: 90:25:020103:3257 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:48,768 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53843368: 90:25:020102:326 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:49,341 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55127595: 90:25:020103:3260 (structure), прав: 1, ограничений объекта: 0
